Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
197725,5500,35.95,1,2,2,2020-01-01,"Electric, other",Fully equipped,0.63,0.57,0.32,,3,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-prieplaukos-g-nuostabioje-vietoje-prie-pat-kopu-parduodami-1-3271420/
37880,1894,20.0,1,3,1,1987-01-01,"Electric, aerothermal",Fully equipped,0.61,0.75,0.79,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-demesio-liko-paskutiniai-butai-1-3087059/
87350,2790,31.31,2,3,2,2022-01-01,"Electric, aerothermal",Partial decoration,0.32,0.46,0.75,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-pristatome-naujai-vystoma-32-gyvenamuju-butu-1-3264540/
76000,1363,55.75,3,3,2,2022-01-01,"Electric, aerothermal",Partial decoration,0.65,0.78,0.46,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-poilsio-apartamentai-per-du-aukstus-1-3262040/
26964,1498,18.0,2,3,2,1998-01-01,"Electric, aerothermal, other",Fully equipped,0.65,0.78,0.46,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-demesio-liko-3-butai-kaina-nuo-1350-eur-1-3013611/
27200,1600,17.0,2,5,2,2019-01-01,"Electric, aerothermal, other",Fully equipped,0.69,0.82,0.43,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-poilsis-kitaip-apartamentai-tai-itin-1-3034605/
179000,2632,68.0,2,3,2,2006-01-01,Electric,Fully equipped,0.83,0.94,0.44,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-juros-g-kaledine-nuolaida-net-10000-1-3176588/
151500,2386,63.5,1,2,3,2022-01-01,"Electric, sun energy",Partial decoration,1.1,1.2,0.97,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-elijos-g-top-4-perkamiausiu-projektu-pajuryje-su-1-3186232/
189000,2996,63.09,3,8,2,2020-01-01,Central thermostat,Fully equipped,1.1,1.3,0.14,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-siulome-pilnai-irengta-2-kamb-buta-dar-1-3267722/
90500,2155,42.0,2,3,2,2022-01-01,"Electric, sun energy",Partial decoration,1.9,1.8,1.4,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-kregzdziu-g-atnaujinta-pastatai-06-16-d-iregistruoti-nt-1-3214602/
229000,3881,59.0,6,6,2,2021-01-01,"Central, gas",Fully equipped,1.1,1.3,0.14,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-erdvus-istaigingi-apartamentai-6-aukste-1-3230616/
72000,3201,22.49,3,3,2,1986-01-01,Electric,Fully equipped,0.65,0.78,0.46,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-poilsio-apartamentai-per-du-aukstus-1-3234586/
51500,2341,22.0,1,3,1,1987-01-01,Electric,Partial decoration,0.61,0.75,0.79,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-jaukus-su-pilna-apdaila-butas-1-3201321/
103000,2512,41.0,4,4,2,2008-01-01,Electric,Fully equipped,0.83,0.97,0.71,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-jaukustvarkingas-butas-1-3272346/
36500,2147,17.0,1,3,1,1998-01-01,Electric,Fully equipped,0.06,0.19,0.49,,2,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodami-butai-bute-atliktas-kapitalinis-1-3226902/
75000,1974,38.0,3,3,2,1990-01-01,Electric,Fully equipped,0.83,0.96,0.35,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-vilties-tak-parduodamas-2-kambariu-butas-sventojoje-1-3259578/
188000,3481,54.0,1,2,2,2021-01-01,Electric,Fully equipped,0.59,0.56,0.41,,2,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-prieplaukos-g-parduodami-moderniai-ir-kokybiskai-irengti-1-3258782/
133000,2209,60.21,5,6,2,2010-01-01,"Central thermostat, gas",Fully equipped,1.1,1.3,0.14,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-apartamentai-prie-juros-parduodami-1-3258256/
89500,1851,48.35,2,3,2,1988-01-01,Electric,Fully equipped,0.34,0.45,0.73,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-parduodami-labai-tvarkingi-pilnai-irengti-1-3197331/
74000,1966,37.64,3,4,1,1991-01-01,Electric,Fully equipped,0.67,0.81,0.58,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-vieno-kambario-butas-sventojoje-1-3255306/
75900,2256,33.64,1,4,1,2006-01-01,Electric,Fully equipped,0.81,0.96,0.66,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-mokyklos-g-parduodamas-1-kambario-butas-ne-poilsio-1-3253849/
93900,1341,70.0,1,4,3,1994-01-01,Gas,Other,0.33,0.46,0.56,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-lieknu-g-parduodamas-70-m2-butas-palangoje-sventoji-1-3253715/
189000,2207,85.64,4,4,4,1996-01-01,Gas,Fully equipped,0.11,0.14,0.41,,2,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-pusyno-g-parduodamas-4-kambariu-butas-sventojoje-1-3263504/
50000,2870,17.42,2,3,1,1984-01-01,Electric,Fully equipped,0.65,0.78,0.46,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-meguvos-g-paskutiniai-studijos-tipo-poilsio-1-3253705/
